date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:32	32625/32625	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:49:52%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/G11.png	/home/raviheima/client/test/wp-content/uploads/2023/12/G11.png	(from https://bluezone.com.ng/fx/)
16:52:33	18468/18468	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2010:59:42%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.18.3	/home/raviheima/client/test/wp-content/plugins/elementor/assets/lib/animations/animations.minf3b2.css	(from https://bluezone.com.ng/fx/)
16:52:34	20217/20217	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2009%20Aug%202023%2001:56:58%20GMT	https://bluezone.com.ng/wp-content/plugins/facebook-conversion-pixel/pixel-cat.min.js?ver=3.0.3	/home/raviheima/client/test/wp-content/plugins/facebook-conversion-pixel/pixel-cat.min19ce.js	(from https://bluezone.com.ng/fx/)
16:52:35	10428/10428	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2026%20Jul%202023%2004:55:00%20GMT	https://bluezone.com.ng/wp-content/plugins/facebook-conversion-pixel/video.js?ver=6.4.3	/home/raviheima/client/test/wp-content/plugins/facebook-conversion-pixel/video84fc.js	(from https://bluezone.com.ng/fx/)
16:52:36	5184/5184	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Dec%202023%2010:58:29%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.7.2	/home/raviheima/client/test/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.minf3df.js	(from https://bluezone.com.ng/fx/)
16:52:38	4997/4997	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Dec%202023%2010:59:42%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.18.3	/home/raviheima/client/test/wp-content/plugins/elementor/assets/js/webpack.runtime.minf3b2.js	(from https://bluezone.com.ng/fx/)
16:52:41	60173/60173	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Dec%202023%2010:59:35%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.18.3	/home/raviheima/client/test/wp-content/plugins/elementor/assets/js/frontend-modules.minf3b2.js	(from https://bluezone.com.ng/fx/)
16:52:41	8171/8171	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2018%20Jan%202023%2015:46:34%20GMT	https://bluezone.com.ng/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	/home/raviheima/client/test/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://bluezone.com.ng/fx/)
16:52:42	6625/6625	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2020%20Sep%202023%2000:00:24%20GMT	https://bluezone.com.ng/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.14.0	/home/raviheima/client/test/wp-includes/js/dist/vendor/regenerator-runtime.min6c85.js	(from https://bluezone.com.ng/fx/)
16:52:43	4627/4627	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2021%20Sep%202023%2017:56:32%20GMT	https://bluezone.com.ng/wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1	/home/raviheima/client/test/wp-includes/js/dist/hooks.min2ebd.js	(from https://bluezone.com.ng/fx/)
16:52:44	115127/115127	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2026%20Sep%202023%2018:53:26%20GMT	https://bluezone.com.ng/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	/home/raviheima/client/test/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://bluezone.com.ng/fx/)
16:52:44	9445/9445	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2021%20Sep%202023%2017:56:32%20GMT	https://bluezone.com.ng/wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef	/home/raviheima/client/test/wp-includes/js/dist/i18n.minf92f.js	(from https://bluezone.com.ng/fx/)
16:52:45	21207/21207	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Dec%202023%2010:58:31%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.7.2	/home/raviheima/client/test/wp-content/plugins/elementor-pro/assets/js/frontend.minf3df.js	(from https://bluezone.com.ng/fx/)
16:52:46	12198/12198	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Dec%202023%2010:59:51%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	/home/raviheima/client/test/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://bluezone.com.ng/fx/)
16:52:48	21438/21438	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202023%2021:06:32%20GMT	https://bluezone.com.ng/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	/home/raviheima/client/test/wp-includes/js/jquery/ui/core.min3f14.js	(from https://bluezone.com.ng/fx/)
16:52:49	40436/40436	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Dec%202023%2010:59:35%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.18.3	/home/raviheima/client/test/wp-content/plugins/elementor/assets/js/frontend.minf3b2.js	(from https://bluezone.com.ng/fx/)
16:52:51	24382/24382	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Dec%202023%2010:58:29%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.7.2	/home/raviheima/client/test/wp-content/plugins/elementor-pro/assets/js/elements-handlers.minf3df.js	(from https://bluezone.com.ng/fx/)
16:52:53	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2026%20Feb%202024%2015:52:52%20GMT	https://fonts.googleapis.com/robots.txt		(from https://bluezone.com.ng/fx/)
16:52:55	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202024%2015:52:54%20GMT	https://fonts.gstatic.com/robots.txt		(from https://bluezone.com.ng/fx/)
16:53:01	1669/-1	---M--	200	added ('OK')	application/rss+xml	etag:%227b9b9a5355f60390635cb55a8ade196e%22	https://bluezone.com.ng/feed/	/home/raviheima/client/test/feed/index.html	(from https://bluezone.com.ng/fx/)
16:53:01	1650/-1	---M--	200	added ('OK')	application/rss+xml	etag:%227b9b9a5355f60390635cb55a8ade196e%22	https://bluezone.com.ng/comments/feed/	/home/raviheima/client/test/comments/feed/index.html	(from https://bluezone.com.ng/fx/)
16:53:02	99445/99445	UR-MCZ	200	added ('OK')	application/json	date:Mon,%2026%20Feb%202024%2015:52:58%20GMT	https://bluezone.com.ng/wp-json/wp/v2/pages/12	/home/raviheima/client/test/wp-json/wp/v2/pages/12.json	(from https://bluezone.com.ng/fx/)
16:53:03	2175/2175	UR-MCZ	200	added ('OK')	text/xml	date:Mon,%2026%20Feb%202024%2015:53:02%20GMT	https://bluezone.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbluezone.com.ng%2Ffx%2F&format=xml	/home/raviheima/client/test/wp-json/oembed/1.0/embed969f	(from https://bluezone.com.ng/fx/)
16:53:04	190777/-1	---M--	200	added ('OK')	application/json	date:Mon,%2026%20Feb%202024%2015:52:58%20GMT	https://bluezone.com.ng/wp-json/	/home/raviheima/client/test/wp-json/index.html	(from https://bluezone.com.ng/fx/)
16:53:04	57682/57682	UR-MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202024%2015:53:04%20GMT	https://bluezone.com.ng/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	/home/raviheima/client/test/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	(from https://bluezone.com.ng/fx/)
16:53:05	57682/57682	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202024%2015:53:04%20GMT	https://bluezone.com.ng/fx/a	/home/raviheima/client/test/fx/a.3c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
16:53:06	57682/57682	UR-MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202024%2015:53:05%20GMT	https://bluezone.com.ng/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	/home/raviheima/client/test/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	(from https://bluezone.com.ng/fx/)
16:53:06	2015/2015	UR-MCZ	200	added ('OK')	application/json	date:Mon,%2026%20Feb%202024%2015:53:04%20GMT	https://bluezone.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbluezone.com.ng%2Ffx%2F	/home/raviheima/client/test/wp-json/oembed/1.0/embedae5c.json	(from https://bluezone.com.ng/fx/)
